cause_name,sequlae,sex,age,source,small_sample,prevalence,dependence_rate,dw_estimate,dw_lower,dw_upper
Asthma,Asthma,Male,65+,2013 CHS,no,28434,1,0.027,0.015,0.045
Asthma,Asthma,Female,15-44,2013 CHS,no,223828,1,0.027,0.015,0.045
Asthma,Asthma,Female,45-64,2013 CHS,no,153140,1,0.027,0.015,0.045
Asthma,Asthma,Female,65+,2013 CHS,no,96708,1,0.027,0.015,0.045
Breast cancer,Breast cancer,Male,20-39 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Breast cancer,Breast cancer,Male,40-59 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Breast cancer,Breast cancer,Male,60+ ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Breast cancer,Breast cancer,Female,20-39 ,NYCHANES 2013,yes,5845,1,0.294,0.199,0.411
Breast cancer,Breast cancer,Female,40-59 ,NYCHANES 2013,no,34168,1,0.294,0.199,0.411
Breast cancer,Breast cancer,Female,60+ ,NYCHANES 2013,no,44234,1,0.294,0.199,0.411
Cocaine use,Cocaine use,Male,20-39 ,NYCHANES 2013,no,121344,0.167,0.376,0.235,0.553
Cocaine use,Cocaine use,Male,40-59 ,NYCHANES 2013,no,44442,0.167,0.376,0.235,0.553
Cocaine use,Cocaine use,Male,60+ ,NYCHANES 2013,no,34368,0.167,0.376,0.235,0.553
Cocaine use,Cocaine use,Female,20-39 ,NYCHANES 2013,no,98947,0.167,0.376,0.235,0.553
Cocaine use,Cocaine use,Female,40-59 ,NYCHANES 2013,no,40690,0.167,0.376,0.235,0.553
Cocaine use,Cocaine use,Female,60+ ,NYCHANES 2013,yes,15871,0.167,0.376,0.235,0.553
Colon and rectum cancers,Colon and rectum cancers,Male,20-39 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Colon and rectum cancers,Colon and rectum cancers,Male,40-59 ,NYCHANES 2013,yes,1328,1,0.294,0.199,0.411
Colon and rectum cancers,Colon and rectum cancers,Male,60+ ,NYCHANES 2013,yes,4914,1,0.294,0.199,0.411
Colon and rectum cancers,Colon and rectum cancers,Female,20-39 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Colon and rectum cancers,Colon and rectum cancers,Female,40-59 ,NYCHANES 2013,yes,2746,1,0.294,0.199,0.411
Colon and rectum cancers,Colon and rectum cancers,Female,60+ ,NYCHANES 2013,yes,6221,1,0.294,0.199,0.411
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Male,20-39 ,NYCHANES 2013,no,31098,1,0.192,0.129,0.271
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Male,40-59 ,NYCHANES 2013,no,34693,1,0.192,0.129,0.271
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Male,60+ ,NYCHANES 2013,no,103454,1,0.192,0.129,0.271
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Female,20-39 ,NYCHANES 2013,no,51270,1,0.192,0.129,0.271
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Female,40-59 ,NYCHANES 2013,no,65138,1,0.192,0.129,0.271
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Female,60+ ,NYCHANES 2013,no,48996,1,0.192,0.129,0.271
Diabetes mellitus,Diabetes mellitus,Male,15-44,2013 CHS,no,53849,1,0.015,0.012,0.018
Diabetes mellitus,Diabetes mellitus,Male,45-64,2013 CHS,no,161192,1,0.015,0.012,0.018
Diabetes mellitus,Diabetes mellitus,Male,65+,2013 CHS,no,102951,1,0.015,0.012,0.018
Diabetes mellitus,Diabetes mellitus,Female,15-44,2013 CHS,no,56141,1,0.015,0.012,0.018
Diabetes mellitus,Diabetes mellitus,Female,45-64,2013 CHS,no,154054,1,0.015,0.012,0.018
Diabetes mellitus,Diabetes mellitus,Female,65+,2013 CHS,no,146422,1,0.015,0.012,0.018
Heroin use,Heroin use,Male,20-39 ,NYCHANES 2013,yes,14910,0.231,0.641,0.459,0.803
Heroin use,Heroin use,Male,40-59 ,NYCHANES 2013,yes,28599,0.231,0.641,0.459,0.803
Heroin use,Heroin use,Male,60+ ,NYCHANES 2013,yes,23889,0.231,0.641,0.459,0.803
Heroin use,Heroin use,Female,20-39 ,NYCHANES 2013,yes,25547,0.231,0.641,0.459,0.803
Heroin use,Heroin use,Female,40-59 ,NYCHANES 2013,yes,6199,0.231,0.641,0.459,0.803
Heroin use,Heroin use,Female,60+ ,NYCHANES 2013,yes,22887,0.231,0.641,0.459,0.803
High blood pressure,High blood pressure,Male,15-44,2013 CHS,no,184690,1,NA,NA,NA
High blood pressure,High blood pressure,Male,45-64,2013 CHS,no,403062,1,NA,NA,NA
High blood pressure,High blood pressure,Male,65+,2013 CHS,no,236146,1,NA,NA,NA
High blood pressure,High blood pressure,Female,15-44,2013 CHS,no,149295,1,NA,NA,NA
High blood pressure,High blood pressure,Female,45-64,2013 CHS,no,430180,1,NA,NA,NA
High blood pressure,High blood pressure,Female,65+,2013 CHS,no,409455,1,NA,NA,NA
Ischemic heart disease,Ischemic heart disease,Male,20-39 ,NYCHANES 2013,yes,0,1,0.126,0.101,0.144
Ischemic heart disease,Ischemic heart disease,Male,40-59 ,NYCHANES 2013,no,24366,1,0.126,0.101,0.144
Ischemic heart disease,Ischemic heart disease,Male,60+ ,NYCHANES 2013,,79436,1,0.126,0.101,0.144
Ischemic heart disease,Ischemic heart disease,Female,20-39 ,NYCHANES 2013,yes,7065,1,0.126,0.101,0.144
Ischemic heart disease,Ischemic heart disease,Female,40-59 ,NYCHANES 2013,no,39037,1,0.126,0.101,0.144
Ischemic heart disease,Ischemic heart disease,Female,60+ ,NYCHANES 2013,no,89666,1,0.126,0.101,0.144
Lung cancer,Lung,Male,20-39 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Lung cancer,Lung,Male,40-59 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Lung cancer,Lung,Male,60+ ,NYCHANES 2013,yes,6551,1,0.294,0.199,0.411
Lung cancer,Lung,Female,20-39 ,NYCHANES 2013,yes,0,1,0.294,0.199,0.411
Lung cancer,Lung,Female,40-59 ,NYCHANES 2013,yes,2831,1,0.294,0.199,0.411
Lung cancer,Lung,Female,60+ ,NYCHANES 2013,yes,7412,1,0.294,0.199,0.411
Cannabis use,Cannabis use,Male,15-24,2002-08 NSDUH,no,94000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Male,25-44,2002-08 NSDUH,no,130000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Male,45-64,2002-08 NSDUH,no,48000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Male,65+,2002-08 NSDUH,no,,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Female,15-24,2002-08 NSDUH,no,67000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Female,25-44,2002-08 NSDUH,no,78000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Female,45-64,2002-08 NSDUH,no,5000,0.09,0.329,0.223,0.455
Cannabis use,Cannabis use,Female,65+,2002-08 NSDUH,no,,0.09,0.329,0.223,0.455
Amphetamine use,Methamphetamine use,Male,20-39 ,NYCHANES 2013,yes,12548,0.19,0.353,0.215,0.525
Amphetamine use,Methamphetamine use,Male,40-59 ,NYCHANES 2013,yes,12065,0.19,0.353,0.215,0.525
Amphetamine use,Methamphetamine use,Male,60+ ,NYCHANES 2013,yes,12877,0.19,0.353,0.215,0.525
Amphetamine use,Methamphetamine use,Female,20-39 ,NYCHANES 2013,yes,11467,0.19,0.353,0.215,0.525
Amphetamine use,Methamphetamine use,Female,40-59 ,NYCHANES 2013,yes,6907,0.19,0.353,0.215,0.525
Amphetamine use,Methamphetamine use,Female,60+ ,NYCHANES 2013,yes,4147,0.19,0.353,0.215,0.525
Major depressive disorder,mild depression,Male,20-39 ,NYCHANES 2013,no,237061,0,0.159,0.107,0.223
Major depressive disorder,mild depression,Male,40-59 ,NYCHANES 2013,no,127358,0,0.159,0.107,0.223
Major depressive disorder,mild depression,Male,60+ ,NYCHANES 2013,no,95836,0,0.159,0.107,0.223
Major depressive disorder,mild depression,Female,20-39 ,NYCHANES 2013,no,233394,0,0.159,0.107,0.223
Major depressive disorder,mild depression,Female,40-59 ,NYCHANES 2013,no,238852,0,0.159,0.107,0.223
Major depressive disorder,mild depression,Female,60+ ,NYCHANES 2013,no,88066,0,0.159,0.107,0.223
Major depressive disorder,moderate depression,Male,20-39 ,NYCHANES 2013,no,88689,0.55,0.406,0.276,0.551
Major depressive disorder,moderate depression,Male,40-59 ,NYCHANES 2013,no,42313,0.55,0.406,0.276,0.551
Major depressive disorder,moderate depression,Male,60+ ,NYCHANES 2013,yes,27585,0.55,0.406,0.276,0.551
Major depressive disorder,moderate depression,Female,20-39 ,NYCHANES 2013,no,76755,0.55,0.406,0.276,0.551
Major depressive disorder,moderate depression,Female,40-59 ,NYCHANES 2013,no,87834,0.55,0.406,0.276,0.551
Major depressive disorder,moderate depression,Female,60+ ,NYCHANES 2013,no,36339,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Male,20-39 ,NYCHANES 2013,yes,7667,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Male,40-59 ,NYCHANES 2013,yes,1913,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Male,60+ ,NYCHANES 2013,yes,0,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Female,20-39 ,NYCHANES 2013,no,58179,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Female,40-59 ,NYCHANES 2013,no,24732,0.55,0.406,0.276,0.551
Major depressive disorder,moderately severe depression,Female,60+ ,NYCHANES 2013,no,35616,0.55,0.406,0.276,0.551
Other arthritis,Other arthritis,Male,20-39 ,NYCHANES 2013,yes,20228,1,0.114,0.077,0.159
Other arthritis,Other arthritis,Male,40-59 ,NYCHANES 2013,no,94824,1,0.114,0.077,0.159
Other arthritis,Other arthritis,Male,60+ ,NYCHANES 2013,no,157199,1,0.114,0.077,0.159
Other arthritis,Other arthritis,Female,20-39 ,NYCHANES 2013,no,47844,1,0.114,0.077,0.159
Other arthritis,Other arthritis,Female,40-59 ,NYCHANES 2013,no,244580,1,0.114,0.077,0.159
Other arthritis,Other arthritis,Female,60+ ,NYCHANES 2013,no,212441,1,0.114,0.077,0.159
Sedative use,sedative use,Male,15-24,2002-08 NSDUH,no,5000,NA,NA,NA,NA
Sedative use,sedative use,Male,25-44,2002-08 NSDUH,no,16000,NA,NA,NA,NA
Sedative use,sedative use,Male,45-64,2002-08 NSDUH,no,9000,NA,NA,NA,NA
Sedative use,sedative use,Male,65+,2002-08 NSDUH,no,0,NA,NA,NA,NA
Sedative use,sedative use,Female,15-24,2002-08 NSDUH,no,2000,NA,NA,NA,NA
Sedative use,sedative use,Female,25-44,2002-08 NSDUH,no,9000,NA,NA,NA,NA
Sedative use,sedative use,Female,45-64,2002-08 NSDUH,no,7000,NA,NA,NA,NA
Sedative use,sedative use,Female,65+,2002-08 NSDUH,no,0,NA,NA,NA,NA
Major depressive disorder,severe depression,Male,20-39 ,NYCHANES 2013,yes,7773,0.55,0.655,0.469,0.816
Major depressive disorder,severe depression,Male,40-59 ,NYCHANES 2013,yes,0,0.55,0.655,0.469,0.816
Major depressive disorder,severe depression,Male,60+ ,NYCHANES 2013,yes,0,0.55,0.655,0.469,0.816
Major depressive disorder,severe depression,Female,20-39 ,NYCHANES 2013,yes,9134,0.55,0.655,0.469,0.816
Major depressive disorder,severe depression,Female,40-59 ,NYCHANES 2013,no,30128,0.55,0.655,0.469,0.816
Major depressive disorder,severe depression,Female,60+ ,NYCHANES 2013,yes,0,0.55,0.655,0.469,0.816
Stimulant use,Stimulant use,Male,15-24,2002-08 NSDUH,no,12000,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Male,25-44,2002-08 NSDUH,no,12000,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Male,45-64,2002-08 NSDUH,no,0,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Male,65+,2002-08 NSDUH,no,0,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Female,15-24,2002-08 NSDUH,no,8000,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Female,25-44,2002-08 NSDUH,no,4000,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Female,45-64,2002-08 NSDUH,no,2000,0.19,0.353,0.215,0.525
Stimulant use,Stimulant use,Female,65+,2002-08 NSDUH,no,0,0.19,0.353,0.215,0.525
Ischemic stroke,Ischemic stroke,Male,20-39 ,NYCHANES 2013,yes,3373,1,0.021,0.011,0.037
Ischemic stroke,Ischemic stroke,Male,40-59 ,NYCHANES 2013,yes,4150,1,0.021,0.011,0.037
Ischemic stroke,Ischemic stroke,Male,60+ ,NYCHANES 2013,yes,21412,1,0.021,0.011,0.037
Ischemic stroke,Ischemic stroke,Female,20-39 ,NYCHANES 2013,yes,4721,1,0.021,0.011,0.037
Ischemic stroke,Ischemic stroke,Female,40-59 ,NYCHANES 2013,no,29018,1,0.021,0.011,0.037
Ischemic stroke,Ischemic stroke,Female,60+ ,NYCHANES 2013,no,23992,1,0.021,0.011,0.037
Tranquilizer use,Tranquilizer use,Male,20-39 ,NYCHANES 2013,no,88032,NA,NA,NA,NA
Tranquilizer use,Tranquilizer use,Male,40-59 ,NYCHANES 2013,no,59098,NA,NA,NA,NA
Tranquilizer use,Tranquilizer use,Male,60+ ,NYCHANES 2013,no,86169,NA,NA,NA,NA
Tranquilizer use,Tranquilizer use,Female,20-39 ,NYCHANES 2013,no,94806,NA,NA,NA,NA
Tranquilizer use,Tranquilizer use,Female,40-59 ,NYCHANES 2013,no,85218,NA,NA,NA,NA
Tranquilizer use,Tranquilizer use,Female,60+ ,NYCHANES 2013,no,107623,NA,NA,NA,NA
