"","cause_name","sex","ageGroup","yld_nm_mean","yld_nm_upper","yld_nm_lower","yld_rt_mean","yld_rt_upper","yld_rt_lower","yll_nm_mean","yll_nm_upper","yll_nm_lower","yll_rt_mean","yll_rt_upper","yll_rt_lower"
"18","Acne vulgaris","Female","65+",38.68175,87.2859,12.4584,0.422094,0.950382,0.1396331,0,0,0,0,0,0
"19","Acne vulgaris","Male","00-14",19202.2,42636.6,7261.58,93.2858,207.132,35.2773,0,0,0,0,0,0
"20","Acne vulgaris","Male","15-24",26846.1,59362.6,9932.575,248.8335,550.182,92.05325,0,0,0,0,0,0
"21","Acne vulgaris","Male","25-44",5679.29,12569.555,2236.8295,53.921075,119.379075,21.2406625,0,0,0,0,0,0
"22","Acne vulgaris","Male","45-64",530.64525,1185.98225,208.216725,5.093645,11.39247,1.992881,0,0,0,0,0,0
"23","Acne vulgaris","Male","65+",27.6471,64.487,7.713575,0.376676,0.882651,0.1054654,0,0,0,0,0,0
"24","Acute glomerulonephritis","Female","00-14",0.8152675,13.3107,0,0.00561709,0.0932147,0,11.8702,29.43905,3.60705,0.0855114,0.208745,0.0270495
"25","Acute glomerulonephritis","Female","15-24",0.2013059,0,0,0.0019641915,0,0,3.41978,10.56642,0.643651,0.03323745,0.102746,0.006249815
"26","Acute glomerulonephritis","Female","25-44",0.064939825,0,0,0.0006415075,0,0,10.11124,30.27935,2.426128,0.0999099,0.299487,0.0239564775
"27","Acute glomerulonephritis","Female","45-64",0.144349325,0,0,0.0014166595,0,0,16.948225,48.983075,4.351125,0.1679135,0.485151,0.042807
"28","Acute glomerulonephritis","Female","65+",0.3503025,4.009375,0,0.00275584,0.02430445,0,80.61645,201.748,23.67267,0.603483,1.545595,0.16987905
"29","Acute glomerulonephritis","Male","00-14",1.3337,16.5531,0,0.009179375,0.11480685,0,10.91059,34.00895,3.02012,0.0833035,0.2647185,0.02374796
"30","Acute glomerulonephritis","Male","15-24",0.3025495,0,0,0.002801895,0,0,7.56405,22.71095,1.80708,0.0697911,0.2095965,0.01666525
"31","Acute glomerulonephritis","Male","25-44",0.1079756,0,0,0.00103747075,0,0,16.411025,47.2355,4.141835,0.15852125,0.456001,0.03997935
"32","Acute glomerulonephritis","Male","45-64",0.23250575,0,0,0.00239431,0,0,28.030225,79.02435,6.7180175,0.28958825,0.817767,0.069009975
"33","Acute glomerulonephritis","Male","65+",0.4380165,6.05426,0,0.004861185,0.0744153,0,100.50685,260.7045,27.920075,1.0314755,2.740265,0.2776
"34","Acute hepatitis A","Female","00-14",476.5855,1085.935,113.04005,3.616185,8.1452,0.886574,43.23075,104.9691,16.34605,0.34463,0.841305,0.13038045
"35","Acute hepatitis A","Female","15-24",146.7885,399.7095,9.70345,1.4258,3.88319,0.09419225,16.382,51.3274,4.022175,0.159305,0.4993655,0.03911355
"36","Acute hepatitis A","Female","25-44",254.20025,653.57725,16.0408325,2.52134,6.478845,0.1594471,49.033075,146.460025,13.1964,0.48474225,1.4507475,0.130299625
"37","Acute hepatitis A","Female","45-64",11.6071475,55.2615,0,0.103644925,0.50646875,0,109.5675,279.4955,35.609075,1.085021,2.7760575,0.35451375
"38","Acute hepatitis A","Female","65+",0.8750175,12.176,0,0.00955915,0.13606335,0,156.156,378.168,61.46145,1.44677,3.59128,0.5241105
"39","Acute hepatitis A","Male","00-14",485.2025,1080.55,106.3011,3.511575,7.69757,0.7794665,32.9381,93.2468,11.22786,0.26248955,0.741478,0.0894107
"40","Acute hepatitis A","Male","15-24",158.703,453.6405,10.845375,1.464675,4.18718,0.09998705,25.73025,84.326,6.467005,0.2375365,0.778638,0.05972135
"41","Acute hepatitis A","Male","25-44",272.48325,702.99775,16.0380025,2.6075375,6.7317225,0.153051975,58.73105,180.12275,16.82845,0.5660275,1.7363225,0.16224935
"42","Acute hepatitis A","Male","45-64",11.4048075,55.5525,0,0.1040177,0.52161225,0,163.90625,447.25875,43.77025,1.6803725,4.603155,0.4480895
"43","Acute hepatitis A","Male","65+",0.619058,9.471235,0,0.008713325,0.13310325,0,144.86165,385.9775,50.8832,1.66662,4.399525,0.5597245
"44","Acute hepatitis B","Female","00-14",78.4572,317.438,3.318155,0.557241,2.22443,0.02274925,58.33875,118.9688,25.6468,0.465439,0.9420055,0.2058731
"45","Acute hepatitis B","Female","15-24",19.7457,85.23865,0,0.192302,0.8299245,0,94.5928,249.3855,26.05635,0.9179105,2.420555,0.2527395
"46","Acute hepatitis B","Female","25-44",20.6436,89.23945,0,0.203891,0.880939,0,361.309,768.24775,136.423075,3.56207,7.58257,1.34269975
"47","Acute hepatitis B","Female","45-64",27.76535,121.06875,0,0.27056375,1.1761575,0,1016.42775,2046.1075,407.13125,9.922935,20.007525,3.9767925
"48","Acute hepatitis B","Female","65+",30.3892,125.40585,0.2056425,0.2662355,1.10012,0.001246585,872.4565,1656.29,429.3435,8.40047,16.57675,3.78171
"49","Acute hepatitis B","Male","00-14",117.3705,431.259,5.27397,0.802364,2.942825,0.03726245,55.1721,132.99955,22.1819,0.4412055,1.060643,0.17985695
"50","Acute hepatitis B","Male","15-24",27.47015,115.29475,0,0.254502,1.068116,0,114.2333,290.9585,35.1386,1.053545,2.68278,0.3241415
"51","Acute hepatitis B","Male","25-44",30.472875,124.93225,0,0.29330275,1.20177575,0,715.6825,1539.70975,273.119525,6.9151725,14.86734,2.64100075
"52","Acute hepatitis B","Male","45-64",38.303975,147.88975,0,0.390188,1.5043075,0,2516.5375,4805.4825,1013.70475,25.4445,48.859675,10.2515325
"53","Acute hepatitis B","Male","65+",32.3137,121.7769,0.93481,0.3785635,1.44674,0.0081281,1211.12,2318.01,614.563,15.01175,29.03145,7.16043
"54","Acute hepatitis C","Female","00-14",26.842,76.87455,2.264435,0.210253,0.586121,0.02202425,9.79075,39.2802,0.802885,0.04977035,0.199677,0.00408139
"55","Acute hepatitis C","Female","15-24",5.44908,27.13405,0,0.0529687,0.263846,0,23.92685,78.9867,5.30252,0.232877,0.768474,0.05168095
"56","Acute hepatitis C","Female","25-44",28.233425,79.9976,2.6167425,0.277747375,0.788173,0.025524525,91.316625,306.475575,10.08307,0.89931275,3.0127445,0.099817325
"57","Acute hepatitis C","Female","45-64",45.78245,121.354325,5.38592,0.4357065,1.16063475,0.051050725,318.751,1362.79,24.25985,3.0501925,13.109975,0.23242475
"58","Acute hepatitis C","Female","65+",33.84865,85.6713,5.336,0.3022325,0.7913385,0.0405403,215.696,950.6745,14.517195,2.145745,9.95273,0.1301955
"59","Acute hepatitis C","Male","00-14",35.4647,99.87655,3.124005,0.2636125,0.727464,0.02900725,14.8853,46.3237,3.368695,0.072314,0.225044,0.0163654
"60","Acute hepatitis C","Male","15-24",7.884685,34.8474,0,0.0728427,0.3221955,0,26.63175,77.6835,3.60798,0.2461885,0.7184315,0.0332632
"61","Acute hepatitis C","Male","25-44",40.1076,108.580275,3.880335,0.38754675,1.047903,0.037487875,145.237125,725.71425,10.1665325,1.39573325,6.9839975,0.096705625
"62","Acute hepatitis C","Male","45-64",56.342725,143.174275,8.6653075,0.5570015,1.420025,0.085088525,647.55625,3161.9025,40.003725,6.3686375,31.099025,0.3929045
"63","Acute hepatitis C","Male","65+",32.8089,81.09465,5.34255,0.3897805,0.9742125,0.06015595,236.994,1080.1405,17.4044,2.88574,13.6937,0.198579
"64","Adverse effects of medical treatment","Female","00-14",350.6014,872.016,102.2805,1.88217,4.846335,0.51993,2135.055,4732.7,1023.146,18.27125,40.10575,8.81531
"65","Adverse effects of medical treatment","Female","15-24",483.17,967.1815,161.5405,4.69562,9.401995,1.56911,922.316,2446.2,318.3465,8.965035,23.7756,3.094585
"66","Adverse effects of medical treatment","Female","25-44",1757.476,3183.6625,854.136,17.3379825,31.407625,8.4245675,2266.6775,5226.105,821.36025,22.33795,51.571075,8.0978675
"67","Adverse effects of medical treatment","Female","45-64",4469.4325,7496.865,2412.43,44.3343,74.19755,23.96735,5581.225,11948.275,1954.965,55.411025,118.59495,19.466125
"68","Adverse effects of medical treatment","Female","65+",8630.425,13729.99,4949.615,73.03315,117.4595,41.4157,14638.2,31829.4,6327.605,118.17005,253.7365,48.7729
"69","Adverse effects of medical treatment","Male","00-14",388.6518,944.8985,112.502,2.019117,5.08529,0.546545,2265.155,3591.805,1344.798,18.53385,29.421665,11.02234
"70","Adverse effects of medical treatment","Male","15-24",535.085,1050.6065,186.3415,4.94477,9.71097,1.72151,1205.13,2156.43,573.4415,11.141,19.9353,5.302775
"71","Adverse effects of medical treatment","Male","25-44",1437.346,2516.4275,711.03625,13.86338,24.261925,6.8632775,1888.73,3536,881.72475,18.1739,34.042325,8.4830875
"72","Adverse effects of medical treatment","Male","45-64",4361.375,7042.505,2459.935,45.729525,73.702775,25.85875,5422.98,10018.3575,2602.2075,57.06765,105.9051,27.2939
"73","Adverse effects of medical treatment","Male","65+",7967.585,12306.325,4823.985,89.1896,138.509,53.47405,11768.995,18265.45,7178.075,127.531,206.0825,74.63865
"74","Alcohol and drug use","Female","00-14",2504.759,3939.029,1480.10375,13.040865,20.65604,7.6262995,5124.885,8021.79,3191.485,40.9849,64.92495,25.3046
"75","Alcohol and drug use","Female","15-24",90645.5,123663.55,63569.9,880.0915,1200.568,617.239,34308.05,51618.45,22031.4,333.349,501.566,214.089
"76","Alcohol and drug use","Female","25-44",74173.125,103291.625,49643.425,732.388,1019.7045,490.35,67055.5,101533.05,43722.25,660.726,1001.0735,430.674
"77","Alcohol and drug use","Female","45-64",16184.5175,32052.6875,60.5425,142.936875,296.05175,-15.089425,112003.95,156973,69345.375,1080.201,1514.3675,663.28225
"78","Alcohol and drug use","Female","65+",-3612.375,13512.55,-18562.395,-15.7458,119.466,-134.42565,88405.6,155161.9,18426.38,768.802,1270.055,252.3867
"79","Alcohol and drug use","Male","00-14",6752.6015,10345.8445,4034.161,33.326005,51.22792,19.823453,7055.585,10838.655,4341.075,52.3451,81.744,31.87515
"80","Alcohol and drug use","Male","15-24",217645.5,297583.5,152188.8,2007.1,2744.16,1403.63,239128,337994,156796,2207.395,3119.9,1447.23
"81","Alcohol and drug use","Male","25-44",201092.25,276867.25,137567.475,1918.2375,2640.3025,1312.293,245409.5,366769.25,164097.5,2349.585,3513.16,1571.21
"82","Alcohol and drug use","Male","45-64",84511.925,122692.575,50420.375,829.10825,1208.7595,486.85,257088.75,349186.75,171001.75,2572.125,3492.53,1704.19
"83","Alcohol and drug use","Male","65+",21902.75,45794.85,-8198.055,272.5625,542.058,-56.63755,102690.4,194803.5,3784.5,1245.59,2252.02,174.342
"84","Alcohol use","Female","00-14",1984.284,3170.659,1150.75875,10.395115,16.75009,5.9521495,4008.15,6780.91,2225.235,32.12605,55.0311,17.672095
"85","Alcohol use","Female","15-24",21834.2,32758.25,13546.7,212.309,318.5315,131.7275,19241.85,28509,12828,187.149,277.282,124.771
"86","Alcohol use","Female","25-44",17764.725,28660.775,9237.9,175.427,282.9885,91.2272,34713.875,47773.05,24391.775,341.5735,470.1115,240.0875
"87","Alcohol use","Female","45-64",5413.01,18934.015,-8756.4625,44.13585,176.107525,-96.169225,87708.875,121314.25,52665.9,853.26525,1185.315,506.11
"88","Alcohol use","Female","65+",-4371.171,12704.505,-19281.28,-24.712305,109.8015,-142.96405,84510.25,151689.6,14984.44,730.6295,1232.99,219.2505
"89","Alcohol use","Male","00-14",5885.2015,9275.4445,3511.196,29.112105,46.02787,17.282853,5235.82,8430.27,2978.735,38.771,63.2435,21.5469
"90","Alcohol use","Male","15-24",71553.8,107578.1,46754.55,661.3545,994.2725,432.1365,189022,278594.5,113632.75,1745.72,2572.87,1049.4465
"91","Alcohol use","Male","25-44",72686.875,108925.5,45902.225,697.23,1045,440.145,152054.5,215844.75,100758.35,1453.43,2062.2025,964.272
"92","Alcohol use","Male","45-64",63219.45,97336.575,34263.525,626.63725,967.613,332.9,199413.5,267960,132681.725,2015.8725,2718.13,1330.3875
"93","Alcohol use","Male","65+",20200.6,43868.9,-9746.455,248.757,516.0745,-77.56305,97616.9,188704,-1930.95,1181.68,2170.76,107.0145
"94","Alcohol use disorders","Female","00-14",1883.7155,3047.413,1044.56525,9.849265,16.07051,5.38729,0,0,0,0,0,0
"95","Alcohol use disorders","Female","15-24",20123.45,30950.6,12025.35,195.6655,300.9485,116.918,749.221,1690.48,211.8535,7.27988,16.4277,2.05699
"96","Alcohol use disorders","Female","25-44",19143.45,29607.375,11333.575,188.952,292.3125,111.851,5610.0075,14973.185,1773.8185,55.210375,147.343925,17.46162
"97","Alcohol use disorders","Female","45-64",17268.4,26794.25,10326.885,163.45175,253.69825,97.621625,10087.195,25316.6,3287.4575,95.878975,241.606,31.23245
"98","Alcohol use disorders","Female","65+",5152.525,8038.675,2991.305,52.13305,81.96105,30.0216,3228.32,7851.915,1164.525,35.20315,86.80735,12.179025
"99","Alcohol use disorders","Male","00-14",5676.237,8903.9175,3381.68955,28.033805,44.144405,16.584552,0,0,0,0,0,0
"100","Alcohol use disorders","Male","15-24",63223.65,97880.7,38832,584.3565,904.6505,358.9375,3733.985,8323.465,1229.3865,34.45265,76.80165,11.348895
"101","Alcohol use disorders","Male","25-44",63097.775,96456.45,38283.375,605.2955,925.42925,367.2125,16432.585,38616.55,6411.5,158.5141,372.51875,61.8335
"102","Alcohol use disorders","Male","45-64",54427.05,83407.8,33559.325,537.10675,823.6645,331.1525,35426.5,80070.45,14457.2175,354.46825,802.44675,144.35925
"103","Alcohol use disorders","Male","65+",13932.1,21318.45,8576.15,180.562,276.6415,110.6141,11631.1,25345.15,5104.81,155.4287,342.5235,66.58575
"104","Alopecia areata","Female","00-14",2272.327,4556.92,647,12.70567,25.67265,3.606285,0,0,0,0,0,0
"105","Alopecia areata","Female","15-24",2597.785,5279.81,756.945,25.26955,51.36405,7.36316,0,0,0,0,0,0
"106","Alopecia areata","Female","25-44",2684.7725,5409.39,775.1465,26.5328,53.45345,7.6587025,0,0,0,0,0,0
"107","Alopecia areata","Female","45-64",2657.285,5287.505,780.76625,25.7377,51.15675,7.5495925,0,0,0,0,0,0
"108","Alopecia areata","Female","65+",2781.28,5486.195,818.8315,24.43315,48.2617,7.167025,0,0,0,0,0,0
"109","Alopecia areata","Male","00-14",1374.1165,2762.783,399.6621,7.338835,14.913205,2.107639,0,0,0,0,0,0
"110","Alopecia areata","Male","15-24",1663.155,3372.445,491.8055,15.3797,31.18555,4.547595,0,0,0,0,0,0
"111","Alopecia areata","Male","25-44",1739.2175,3511.785,503.14325,16.696975,33.714875,4.830975,0,0,0,0,0,0
"112","Alopecia areata","Male","45-64",1592.3875,3230.75,454.9475,16.117975,32.6654,4.61168,0,0,0,0,0,0
"113","Alopecia areata","Male","65+",1295.079,2561.445,377.7815,15.1796,30.2243,4.422045,0,0,0,0,0,0
"114","Alzheimer's disease and other dementias","Female","00-14",0,0,0,0,0,0,1154.15,2539.92,499.158,5.867,12.9114,2.53742
"115","Alzheimer's disease and other dementias","Female","15-24",0,0,0,0,0,0,316.0485,733.814,93.87305,3.075715,7.13965,0.9132365
"116","Alzheimer's disease and other dementias","Female","25-44",86.249,187.78675,16.476875,0.82947,1.805975,0.158461,434.8865,864.19175,199.33935,4.2813825,8.50705,1.9602905
"117","Alzheimer's disease and other dementias","Female","45-64",13959.09,19822.57,9162.705,144.4431,204.881575,94.9752,8603.335,15164.27,4343.38825,91.64495,160.7214,46.4851175
"118","Alzheimer's disease and other dementias","Female","65+",234031.35,308726.75,165781.65,1553.0355,2058.675,1096.345,348754.3,554204.4,126451.05,2256.3445,3593.267,838.312
"119","Alzheimer's disease and other dementias","Male","00-14",0,0,0,0,0,0,1481.55,2965.18,669.466,7.19745,14.4051,3.25231
"120","Alzheimer's disease and other dementias","Male","15-24",0,0,0,0,0,0,444.978,1118.689,146.836,4.1173,10.35572,1.357915
"121","Alzheimer's disease and other dementias","Male","25-44",73.73175,166.10375,14.377275,0.70563,1.5896475,0.13759375,560.717,1134.917,236.58175,5.3964925,10.9067,2.279945
"122","Alzheimer's disease and other dementias","Male","45-64",10038.565,14471.1025,6608.7525,110.106575,158.17815,72.722225,9165.11,16160.4225,4877.0695,104.19195,182.932575,55.790755
"123","Alzheimer's disease and other dementias","Male","65+",132609.2,176226.45,94550.85,1246.4625,1661.7455,887.768,207848.75,302241.6,102540.45,1942.682,2851.9765,969.559
"124","Ambient ozone pollution","Female","25-44",0,0,0,0,0,0,142.351975,300.26965,41.884285,1.3895355,2.93187275,0.4083934
"125","Ambient ozone pollution","Female","45-64",0,0,0,0,0,0,2946.295,5569.885,920.919,30.7328225,57.9235,9.63204
"126","Ambient ozone pollution","Female","65+",0,0,0,0,0,0,16450.95,29724.15,5189.52,131.219,238.4845,41.5295
"127","Ambient ozone pollution","Male","25-44",0,0,0,0,0,0,138.4824,286.77865,39.389625,1.333688,2.76292875,0.37925825
"128","Ambient ozone pollution","Male","45-64",0,0,0,0,0,0,3099.08125,5781.4375,999.2075,34.4506225,64.2011,11.1197025
"129","Ambient ozone pollution","Male","65+",0,0,0,0,0,0,15973.805,28777.4,5281.715,168.931,304.857,55.76995
"130","Ambient particulate matter pollution","Female","00-14",229.819,435.419,100.778,2.23526,4.23496,0.980179,1456.78,2553.47,739.415,14.1689,24.8355,7.19167
"131","Ambient particulate matter pollution","Female","25-44",2827.4525,4626.7575,1634.333,27.8879,45.650225,16.1181425,11561.6725,16826.4375,7328.2675,113.545375,165.3444,71.9144
"132","Ambient particulate matter pollution","Female","45-64",8975.5625,13567.505,5653.9875,89.66915,135.380575,56.61955,59439.075,84138.6,41188.2,598.14025,846.798,415.50925
"133","Ambient particulate matter pollution","Female","65+",20556.18,29880.55,13872.995,168.505,246.513,110.7717,183184.5,235185,140104.55,1458.76,1905.25,1093.2945
"134","Ambient particulate matter pollution","Male","00-14",282.883,538.354,123.101,2.62665,4.99877,1.14303,1854.07,3241.61,903.977,17.2156,30.0993,8.39368
"135","Ambient particulate matter pollution","Male","25-44",3408.9225,5474.1475,1999.1475,32.8679,52.767075,19.288825,23857.785,34350.75,15218.395,230.2761,331.50575,146.91635
"136","Ambient particulate matter pollution","Male","45-64",10094.7675,15262.925,6451.3075,106.514525,160.67625,68.32835,121969.925,170023,84493.125,1283.00975,1784.4525,890.6335
"137","Ambient particulate matter pollution","Male","65+",18253.8,25967.9,12486.535,203.262,291.1395,135.7815,202029.5,256412,154455.5,2269.085,2917.735,1695.92
"138","Amphetamine use disorders","Female","00-14",NA,NA,NA,NA,NA,NA,8.23263,6.856185,0.978801,0.06807935,0.05572945,0.00789367
"139","Amphetamine use disorders","Female","15-24",5278.4,9105.515,2596.59,51.2965,88.48245,25.23215,64.1085,81.8719,6.958085,0.6221365,0.7950945,0.067545
"140","Amphetamine use disorders","Female","25-44",4680.69,8281.69,2313.7375,46.32155,81.948775,22.903375,177.077,184.26125,21.53535,1.7502375,1.819455,0.2129055
"141","Amphetamine use disorders","Female","45-64",1319.7275,2542.3975,540.64575,12.286035,23.750175,4.99025,92.79115,134.76955,9.3452725,0.86391025,1.2439365,0.086964275
"142","Amphetamine use disorders","Female","65+",127.6351,326.702,0,1.5491485,3.928395,0,30.52165,27.9257,3.96414,0.295031,0.2826435,0.03404085
"143","Amphetamine use disorders","Male","00-14",NA,NA,NA,NA,NA,NA,14.83883,12.115595,1.4545455,0.1165497,0.09379545,0.01147882
"144","Amphetamine use disorders","Male","15-24",8982.54,15430.65,4388.18,82.94915,142.513,40.51605,267.402,278.18,21.871065,2.46362,2.56403,0.2014327
"145","Amphetamine use disorders","Male","25-44",8443.4675,14346.93,4245.69,80.75615,137.2853,40.619325,540.96825,604.10025,61.9926,5.1983725,5.79622,0.59702275
"146","Amphetamine use disorders","Male","45-64",2242.54275,4063.7775,1015.97675,21.5849025,39.285475,9.696825,259.13255,326.048625,24.805935,2.46876425,3.10616,0.235504
"147","Amphetamine use disorders","Male","65+",183.544,427.1195,34.406,2.686635,6.23926,0.5251125,45.9349,40.8357,4.34087,0.583707,0.5067835,0.048892
"148","Animal contact","Female","00-14",47.26411,143.29825,0,0.25190585,0.810493,0,305.9665,571.1555,150.657,2.4691,4.540685,1.2184785
"149","Animal contact","Female","15-24",35.56355,119.25,0,0.3458545,1.1601,0,87.14175,203.1145,31.07335,0.8478005,1.975915,0.3022725
"150","Animal contact","Female","25-44",117.091175,274.704,16.4155,1.153732,2.707665,0.1601465,99.3532,210.798,39.403525,0.977635,2.07523,0.38757875
"151","Animal contact","Female","45-64",266.059,533.24075,89.116525,2.603545,5.1992675,0.87423675,165.4835,332.99925,65.7406,1.5932075,3.204495,0.6335775
"152","Animal contact","Female","65+",399.937,700.6305,190.6738,3.492185,6.331865,1.5354,167.132,347.075,62.0364,1.51713,3.31195,0.5132395
"153","Animal contact","Male","00-14",77.473085,209.8985,10.41175,0.3906003,1.1105315,0.050581,542.915,959.584,269.7285,4.08285,7.23004,2.019255
"154","Animal contact","Male","15-24",80.69695,223.548,0,0.745575,2.065775,0,299.9195,748.394,89.1238,2.772235,6.918095,0.8238145
"155","Animal contact","Male","25-44",206.15875,433.15925,59.1124,1.988435,4.1754,0.57135525,387.7685,799.96225,151.3055,3.7246225,7.69071,1.451465
"156","Animal contact","Male","45-64",497.76075,874.4005,226.51625,5.134875,8.9965975,2.3443325,452.479,881.49325,197.36575,4.5705575,8.924955,1.9902075
"157","Animal contact","Male","65+",605.2725,963.1095,338.635,6.90625,11.13265,3.77921,309.217,586.6185,132.5224,3.706455,7.204155,1.577915
"158","Animal contact (non-venomous)","Female","00-14",12.14627,49.5503,0,0.063682855,0.285039,0,284.806,578.1615,122.83315,2.301175,4.556825,0.983897
"159","Animal contact (non-venomous)","Female","15-24",14.5645,64.40265,0,0.1416405,0.6263515,0,78.11375,195.144,21.4221,0.760043,1.898625,0.2085225
"160","Animal contact (non-venomous)","Female","25-44",31.177575,98.593025,0,0.30795,0.97386075,0,65.659775,163.782,21.00285,0.64701925,1.61469,0.20674625
"161","Animal contact (non-venomous)","Female","45-64",55.4851,141.27975,1.755755,0.53686175,1.36927,0.015653425,106.9989,247.69175,28.33635,1.02978575,2.3869275,0.27287525
"162","Animal contact (non-venomous)","Female","65+",60.5462,135.23285,12.4361,0.533146,1.256355,0.0753865,127.4344,291.4285,29.56005,1.112475,2.737435,0.233478
"163","Animal contact (non-venomous)","Male","00-14",24.216595,79.6381,0,0.1214266,0.4257665,0,492.108,921.5765,238.502,3.711645,6.94797,1.792918
"164","Animal contact (non-venomous)","Male","15-24",33.5306,113.06805,0,0.3098455,1.0447565,0,248.6285,689.159,58.3892,2.29946,6.372005,0.540442
"165","Animal contact (non-venomous)","Male","25-44",70.434475,181.37525,5.2988775,0.67901375,1.74826,0.05104095,222.21225,579.237,61.799,2.12843,5.56053,0.59034025
"166","Animal contact (non-venomous)","Male","45-64",133.83975,280.7965,39.19515,1.3743325,2.8728375,0.408299,221.7015,475.10775,78.5833,2.262945,4.870105,0.80208425
"167","Animal contact (non-venomous)","Male","65+",119.1625,218.814,49.7834,1.390415,2.62203,0.542091,205.743,418.94,75.51505,2.367585,4.989545,0.8525985
"168","Animal contact (venomous)","Female","00-14",35.11789,123.55105,0,0.188223,0.708057,0,21.1606,60.5993,6.230255,0.16792205,0.4698975,0.0520562
"169","Animal contact (venomous)","Female","15-24",20.99905,95.52385,0,0.204214,0.9293395,0,9.028015,29.12,1.368845,0.08775685,0.282919,0.0133035
"170","Animal contact (venomous)","Female","25-44",85.9136,224.612,5.412775,0.84578125,2.213885,0.05205575,33.693375,92.343,8.2050675,0.330615,0.905952,0.0804985
"171","Animal contact (venomous)","Female","45-64",210.574,453.952,53.101925,2.0666875,4.4341675,0.525207,58.48445,149.2355,17.91685,0.5634205,1.444025,0.1718645
"172","Animal contact (venomous)","Female","65+",339.391,626.3735,150.55765,2.95904,5.640645,1.1931145,39.6977,99.90675,13.8501,0.4046535,1.0529635,0.131359
"173","Animal contact (venomous)","Male","00-14",53.25614,163.2054,0,0.2691737,0.878654,0,50.80675,130.519,15.84325,0.371205,0.946098,0.11787975
"174","Animal contact (venomous)","Male","15-24",47.1664,166.3675,0,0.4357295,1.537415,0,51.2907,136.34865,10.893475,0.472773,1.2572935,0.10041195
"175","Animal contact (venomous)","Male","25-44",135.724275,318.92975,17.85285,1.3094225,3.0745175,0.172929,165.55625,435.4735,45.82365,1.59618975,4.20352,0.44150925
"176","Animal contact (venomous)","Male","45-64",363.921,689.501,133.862175,3.760545,7.0885375,1.39356075,230.77725,583.688,69.16575,2.30761,5.836365,0.69032325
"177","Animal contact (venomous)","Male","65+",486.1095,800.225,247.0715,5.515835,9.222285,2.71815,103.4744,242.387,29.6441,1.3388695,3.24767,0.381318
"178","Anxiety disorders","Female","00-14",39254.4329,56504.73545,26225.3,199.5713415,287.376075,133.3135,0,0,0,0,0,0
